"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J1";"USB_Micro-B_GCT_USB3076-30-A";1;"USB_B_Micro";;;
2;"C1";"C_0603_1608Metric";1;"100nf";;;
3;"C2";"C_0603_1608Metric";1;"100nF";;;
4;"C3";"CP_Elec_3x5.3";1;"10uF";;;
5;"D1";"LED_1206_3216Metric";1;"PWR_LED";;;
6;"D2";"LED_1206_3216Metric";1;"TX_LED";;;
7;"D3";"LED_1206_3216Metric";1;"RX_LED";;;
8;"JP1";"PinHeader_1x03_P2.54mm_Vertical";1;"PowerSelect";;;
9;"R1";"R_0603_1608Metric";1;"RX_R";;;
10;"R2";"R_0603_1608Metric";1;"TX_R";;;
11;"R3";"R_0603_1608Metric";1;"R_Small";;;
12;"U1";"SSOP-28_5.3x10.2mm_P0.65mm";1;"FT232RL";;;
13;"J2,J3";"PinHeader_1x07_P2.54mm_Vertical";2;"Conn_01x07_Female";;;
